nb_proc,msg_size,time
64,93800,0.0020254
16,93900,0.00060992
64,93900,0.00202543
16,92600,0.01495988
64,92600,0.01511657
16,92610,0.01495988
64,92610,0.01511657
16,92620,0.0149599
64,92620,0.01511664
16,92630,0.0149599
64,92630,0.01511663
16,92640,0.01495991
64,92640,0.01511664
16,92650,0.01495991
64,92650,0.01511661
16,92660,0.0149599
64,92660,0.01511659
16,92670,0.01495993
64,92670,0.01511665
16,92680,0.01504057
64,92680,0.01519724
16,92690,0.00060989
64,92690,0.00202543
16,92700,0.00060983
64,92700,0.00202547
16,92710,0.00060988
64,92710,0.00202544
16,92720,0.00060983
64,92720,0.0020254
16,92730,0.00060989
64,92730,0.0020254
16,92740,0.00060985
64,92740,0.0020254
16,92750,0.00060988
64,92750,0.00202544
16,92760,0.00060988
64,92760,0.0020254
16,92770,0.00060986
64,92770,0.00202547
16,92780,0.00060988
64,92780,0.00202543
16,92790,0.00060989
64,92790,0.00202538
