nb_proc,msg_size,time
16,5500,0.00065646
64,5500,0.00095487
16,6000,0.00065813
64,6000,0.00095833
16,6500,0.0006598
64,6500,0.00096175
16,7000,0.00066147
64,7000,0.00096518
16,7500,0.00066313
64,7500,0.00096861
16,8000,0.00066481
64,8000,0.00097203
16,8500,0.00066648
64,8500,0.00097546
16,9000,0.00066815
64,9000,0.00097887
16,9500,0.00066979
64,9500,0.00098221
16,10000,0.00067149
64,10000,0.00098576
16,10500,0.00067315
64,10500,0.00098919
16,11000,0.00067482
64,11000,0.00099262
16,11500,0.00067649
64,11500,0.00099604
16,12000,0.00067816
64,12000,0.0009995
16,12500,0.00067983
64,12500,0.00100293
16,13000,0.00068148
64,13000,0.00100637
16,13500,0.00068316
64,13500,0.00100976
16,14000,0.00068483
64,14000,0.0010132
16,14500,0.00068651
64,14500,0.00101662
16,15000,0.00068817
64,15000,0.00102004
16,15500,0.00068983
64,15500,0.00102347
16,16000,0.00069152
64,16000,0.00102691
16,16500,0.00196536
64,16500,0.00290812
16,17000,0.00196605
64,17000,0.0029091
16,17500,0.00196674
64,17500,0.00291017
16,18000,0.00196741
64,18000,0.00291124
16,18500,0.00196813
64,18500,0.00291223
16,19000,0.00196876
64,19000,0.00291324
16,19500,0.00196945
64,19500,0.00291422
16,20000,0.0019702
64,20000,0.00291526
16,1000,0.0003842
64,1000,0.0005382
16,1500,0.00043481
64,1500,0.00061513
16,2000,0.00043642
64,2000,0.00061849
16,2500,0.00050338
64,2500,0.00071962
16,3000,0.0005051
64,3000,0.00072309
16,3500,0.00050677
64,3500,0.00072661
16,4000,0.00065144
64,4000,0.00094461
16,4500,0.00065313
64,4500,0.00094803
16,5000,0.00065479
64,5000,0.00095145
16,5500,0.00065646
64,5500,0.00095489
16,6000,0.00065813
64,6000,0.00095833
16,6500,0.0006598
64,6500,0.00096175
16,7000,0.00066145
64,7000,0.00096518
16,7500,0.00066313
64,7500,0.00096861
16,8000,0.0006648
64,8000,0.00097204
16,8500,0.00066648
64,8500,0.00097547
16,9000,0.00066814
64,9000,0.0009789
16,9500,0.00066982
64,9500,0.00098233
16,10000,0.00067149
64,10000,0.00098579
16,10500,0.00067316
64,10500,0.00098918
16,11000,0.00067482
64,11000,0.00099262
16,11500,0.0006765
64,11500,0.00099608
16,12000,0.00067817
64,12000,0.00099947
16,12500,0.00067984
64,12500,0.00100289
16,13000,0.00068149
64,13000,0.00100633
16,13500,0.00068316
64,13500,0.00100976
16,14000,0.00068484
64,14000,0.00101319
16,14500,0.00068651
64,14500,0.00101663
16,15000,0.00068817
64,15000,0.00102006
16,15500,0.00068985
64,15500,0.00102352
16,16000,0.00069152
64,16000,0.00102693
16,16500,0.00196538
64,16500,0.00290811
16,17000,0.00196605
64,17000,0.00290913
16,17500,0.00196674
64,17500,0.00291011
16,18000,0.00196742
64,18000,0.00291119
16,18500,0.00196809
64,18500,0.0029122
16,19000,0.00196877
64,19000,0.00291323
16,19500,0.00196946
64,19500,0.00291425
16,20000,0.00197015
64,20000,0.00291529
16,1000,0.0003842
64,1000,0.0005382
16,1500,0.00043483
64,1500,0.00061514
16,2000,0.00043641
64,2000,0.00061849
16,2500,0.00050338
64,2500,0.00071963
16,3000,0.00050511
64,3000,0.0007231
16,3500,0.0005068
64,3500,0.00072657
16,4000,0.00065146
64,4000,0.0009446
16,4500,0.00065313
64,4500,0.00094803
16,5000,0.00065479
64,5000,0.00095146
16,5500,0.00065645
64,5500,0.00095488
16,6000,0.00065812
64,6000,0.00095832
16,6500,0.0006598
64,6500,0.00096175
16,7000,0.00066146
64,7000,0.00096519
16,7500,0.00066314
64,7500,0.00096861
16,8000,0.00066481
64,8000,0.00097204
16,8500,0.00066648
64,8500,0.00097547
16,9000,0.00066815
64,9000,0.0009789
16,9500,0.00066982
64,9500,0.00098233
16,10000,0.00067149
64,10000,0.00098576
16,10500,0.00067316
64,10500,0.00098913
16,11000,0.00067482
64,11000,0.0009926
16,11500,0.0006765
64,11500,0.00099604
16,12000,0.00067815
64,12000,0.00099947
16,12500,0.00067984
64,12500,0.0010029
16,13000,0.0006815
64,13000,0.00100633
16,13500,0.00068317
64,13500,0.00100976
16,14000,0.00068484
64,14000,0.00101318
16,14500,0.00068652
64,14500,0.00101662
16,15000,0.00068819
64,15000,0.00102005
16,15500,0.00068985
64,15500,0.00102348
16,16000,0.00069151
64,16000,0.00102691
16,16500,0.00196537
64,16500,0.00290813
16,17000,0.00196605
64,17000,0.0029091
16,17500,0.00196674
64,17500,0.00291017
16,18000,0.00196741
64,18000,0.00291122
16,18500,0.0019681
64,18500,0.00291217
16,19000,0.00196877
64,19000,0.00291323
16,19500,0.00196946
64,19500,0.00291421
16,20000,0.00197013
64,20000,0.00291523
16,1000,0.0003842
64,1000,0.0005382
16,1500,0.00043482
64,1500,0.00061513
16,2000,0.00043642
64,2000,0.0006185
16,2500,0.00050339
64,2500,0.00071963
16,3000,0.00050511
64,3000,0.00072291
16,3500,0.0005068
64,3500,0.00072656
16,4000,0.00065146
64,4000,0.0009446
16,4500,0.00065312
64,4500,0.00094803
16,5000,0.00065479
64,5000,0.00095146
16,5500,0.00065646
64,5500,0.00095493
16,6000,0.00065814
64,6000,0.00095832
16,6500,0.00065979
