topology,nb_roots,nb_proc,size,rank,communication_time,computation_time
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2587,0.54831867,0.28661943
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2594,0.5490061,0.28601264
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3154,0.54718177,0.28781743
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2401,0.54660256,0.28839445
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7116,0.5486279,0.28638964
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5079,0.54904226,0.28605323
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5553,0.54895779,0.28609316
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4679,0.54936751,0.28568021
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6877,0.54815028,0.28691743
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1765,0.5485964,0.28642214
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2588,0.54919376,0.28587171
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2323,0.54884308,0.28622011
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6787,0.54772806,0.2873198
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2108,0.54741655,0.28767287
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2402,0.54800819,0.28704508
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6784,0.54782409,0.28723049
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2846,0.54761165,0.28742712
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5086,0.54774711,0.28727562
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5087,0.54861942,0.28647779
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6880,0.54759601,0.28749467
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4678,0.54855098,0.28652593
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7210,0.54692975,0.2881145
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2847,0.54847577,0.28657824
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7119,0.54918067,0.28584795
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2309,0.54735713,0.28772617
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5267,0.54904441,0.28604784
